Spanish,English
asesino,assassin
sueño,dream
quisiera,I'd like
habría,there would be
hará,will
viaje,travel
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,force
llamado,called
oído,hearing
dado,dice
encima,above
negro,black
usar,use
información,information
uds,You
preguntas,questions
secreto,secret
vuelve,returns
miren,look
quieras,want
haría,would do
acaba,just
otras,other
incluso,even
sientes,you feel
haz,make
decirte,tell you
boca,mouth
dolor,pain
baño,bath
adentro,inside
profesor,teacher
habitación,bedroom
daño,damage
tuyo,of yours
seas,be
noticias,news
demás,the rest
querido,Dear
duro,Lasted
poner,put
prueba,proof
mire,Look
tonto,fool
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,calm
asunto,business
acabó,just
quédate,stay
derecho,right
estuve,was
tratando,trying
ejército,army
futuro,future
compañía,company
venido,I come
listos,ready
haremos,will
sitio,site
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,White
raro,weird
palabras,words
llegó,arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,movie
anda,anda
ello,it
novia,bride
permiso,Excuse me
creí,thought
suena,it sounds
ocurre,occurs
oficial,official
espere,Wait
aire,air
mató,he killed
regresar,to return
vio,saw
hazlo,do it
trasero,rear
grupo,group
entendido,it is understood
música,music
perra,female dog
conoce,known
siente,feels
acabo,finished
estúpido,stupid
diferente,different
traje,suit
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
pena,pain
largo,length
entra,enters
piso,floor
foto,Photo
dijeron,they said
médico,doctor
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,ship
ganar,win
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
decirle,tell
lindo,cute
funciona,it works
programa,Program
vine,came
abre,opens
sean,are
pagar,to pay
fotos,photos
centro,center
supone,supposed
basura,garbage
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
maestro,teacher
hambre,hungry
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,to get
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,answer
tipos,types
sentir,feel
tenías,had
pude,could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,sight
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,ten
temo,fear
señal,sign
pelo,hair
llevo,I wear
ayer,Yesterday
das,you give
nena,Chick
servicio,service
tren,train
bonito,nice
mes,month
tendrá,will have
tendrás,you will have
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,you have
corre,runs
baja,low
sol,Sun
siéntate,Sit down
dan,give
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,desk
siguiente,following
hablo,talked
disculpa,excuses
decirme,tell me
caja,box
negocios,business
misión,mission
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
media,half
estan,are
propio,own
oro,gold
enseguida,right away
linda,cute
prometo,I promise
esposo,husband
norte,North
hubo,was
juro,I swear
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,end up
tendré,I will have
completamente,completely
cita,date
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,because
llave,key
santo,holy
hermoso,handsome
necesario,necessary
edificio,building
irnos,leave
aun,yet
tendremos,we will have
vayas,go
doy,I give
trae,brings
salió,he left
ley,law
ahi,over there
verdadero,true
pelea,Fight
banco,Bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I'll give
gobierno,government
comprar,purchase
creen,believe
sargento,sergeant
destino,destination
existe,exists
hacía,toward
novio,boyfriend
sala,living room
través,through
regalo,present
iglesia,church
decía,He said
cualquiera,any
excelente,Excellent
esperen,expect
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,many
espada,sword
estábamos,we were
maravilloso,marvelous
vidas,lifes
sucedió,it happened
oí,I heard
peligroso,dangerous
dirección,address
ocurrió,occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
infierno,hell
creía,thought
luna,Moon
salvar,save
carta,letter
estés,re
cielos,Heavens
encuentra,finds
veamos,let's see
quise,I wanted
necesitan,need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,candy
pruebas,evidence
querías,wanted
abuelo,Grandpa
totalmente,completely
mirando,looking
vayan,go
carrera,career
